;0番台,０．愛撫系コマンド
1,愛撫
2,クンニ
3,フェラする
4,指挿れ
5,アナル舐め
6,アナル愛撫
7,胸愛撫
8,乳首責め
9,秘貝開帳させる
10,自慰させる
11,手淫する
12,パイズリする
13,泡踊りする
14,素股する
15,足コキする
16,腰を振る
17,奥を突く
18,Ｇスポット責め

;20番台,１．コミュニケーション系コマンド
20,キスする
21,ディープキス
22,唇を食む

;40番台,２．道具使用コマンド
40,ローター
41,Ｅマッサージャ
42,クリキャップ
43,オナホール
44,バイブ
45,アナルバイブ
46,アナルビーズ
47,ニプルキャップ
48,搾乳機
49,バイブを動かす

60,正常位
61,後背位
62,正常位アナル
63,後背位アナル
65,騎乗位
66,騎乗位アナル
67,対面座位
68,背面座位
69,対面座位アナル
70,背面座位アナル
71,貝合わせ

80,手淫させる
81,フェラチオさせる
82,パイズリさせる
83,素股させる
84,泡踊りさせる
85,足コキさせる
;86,アナル愛撫させる
;87,アナル舐めさせる
;88,クンニ強制
;89,放尿させる


100,正常位させる
101,後背位させる
102,正常位Ａさせる
103,後背位Ａさせる
105,騎乗位させる
106,騎乗位Ａさせる
107,対面座位させる
108,背面座位させる
109,対面座位Ａさせる
110,背面座位Ａさせる


120,スパンキング
131,鞭
;132,蝋燭
;133,針
;134,アイマスク
135,縄
;136,浣腸
;137,ローション
;138,媚薬
;139,利尿剤
140,ボールギャグ
150,媚薬

199,何もしない

;200,ビデオ撮影

800,雑談する
801,雑談する（受け用）

810,胸を揉む
811,乳首を摘む
812,乳首ローター
813,お尻を触る
814,股間を触る
815,バイブを弄る
816,アナルバイブを弄る
817,下着をずらす
818,挿入
819,アナル挿入
820,舐める
821,胸を触らせる
822,乳首を探る
823,股間をさする
825,足を踏む

900,逃げる
901,痴漢を探す
902,我慢する
903,強気に抵抗する
904,控えめに抵抗する


921,攻撃する,;戦闘能力差によって効果アップ、体力と抵抗を削る

931,押さえつける,;戦闘能力差によって成功率アップ、逃げ出せなくなる、攻撃効果アップ
932,振り払う,;戦闘能力差によって成功率アップ、押さえつけ解除
933,叫ぶ,;騒ぎアップ、助けが来やすくなる
934,脅す,;お互いの話術差、サドっ気差、相手の度胸、感情の乏しさによって効果変動、気力と抵抗と興奮度を削る
935,嫌がる,;相手のこちらへの好意とサドっ気によって効果変動、気力と抵抗と興奮度を削る
936,睨みつける,;サドっ気差、相手の度胸、感情の乏しさによって効果変動、気力と抵抗と興奮度を削る
937,情に訴える,;お互いの話術差、相手の態度によって効果変動、気力と抵抗と興奮度を削る

941,どうぐ,;

951,耐える,;守りを固めて相手の消耗や助けを待つ
952,何もできない,;抵抗力を失うとこれしか選べない

961,逃げる,;運動能力差によって成功率アップ、押さえつけられてるとだめ
962,受け入れる,;抵抗しないから痛いことしないでね










981,友達を紹介してもらう
982,連絡先を交換する
983,行為に誘う
984,セフレに誘う
985,告白する
986,デートに誘う
989,陵辱終了
990,何もしない(ダミー)
991,引き抜く
992,キスをやめる
993,器具を抜く
995,着せ替え
996,同行してもらう
997,行為を終える
998,押し倒す
999,会話を終える

1000,移動
1001,授業を受ける
1002,勉強をする
1003,のんびりする
1004,寝る
1005,アルバイトをする
1006,買い物
1007,自慰
1008,入浴
1009,汚れを落とす
1010,お昼を食べる
1011,お弁当を作る
1012,入部届けを出す
1013,部活動
1014,遊ぶ
1015,注文する
1016,施設を利用する
1017,くつろぐ
1018,１０分進める
1019,トイレ

1020,声をかける
1021,襲い掛かる
1022,電話で呼び出す
1044,バイトに応募する
1048,薬を飲む
1049,病院へ行く
;--- 身分システム：勤務コマンド（1050番台。2026-07-19追加） ---
1050,授業をする
1051,会社で働く
1052,家事をする
1053,店に出る
1054,店に出る
1055,面接を受ける
1056,仕事を辞める
1057,ステージに立つ
1058,始業まで待つ

1100,入団する
1101,退団する

1110,練習する
1150,試合

1200,３０分調教

1995,初期衣装替え

;2000番台,０．愛撫系コマンド
2001,愛撫
2002,クンニ
2003,フェラする
2004,指挿れ
2005,アナル舐め
2006,アナル愛撫
2007,胸愛撫
2008,乳首責め
2009,秘貝開帳させる
2010,自慰させる
2011,手淫する
2012,パイズリする
2013,泡踊りする
2014,素股する
2015,足コキする

;2020番台,１．コミュニケーション系コマンド
2020,キスする

;2040番台,２．道具使用コマンド
2040,ローター
2041,Ｅマッサージャ
2042,クリキャップ
2043,オナホール
2044,バイブ
2045,アナルバイブ
2046,アナルビーズ
2047,ニプルキャップ
2048,搾乳機

2060,正常位
2061,後背位
2062,正常位アナル
2063,後背位アナル
2065,騎乗位
2066,騎乗位アナル
2067,対面座位
2068,背面座位
2069,対面座位アナル
2070,背面座位アナル
2071,貝合わせ

2080,手淫させる
2081,フェラチオさせる
2082,パイズリさせる
2083,素股させる
2084,泡踊りさせる
2085,足コキさせる

2100,正常位させる
2101,後背位させる
2102,正常位Ａさせる
2103,後背位Ａさせる
2105,騎乗位させる
2106,騎乗位Ａさせる
2107,対面座位させる
2108,背面座位させる
2109,対面座位Ａさせる
2110,背面座位Ａさせる

2120,スパンキング
2131,鞭
2135,縄
2140,ボールギャグ

2199,何もしない

2700,強姦する

2750,戦う

2800,雑談する（ＮＰＣ）
2801,雑談する（ＮＰＣ受け）

2850,近くの人と雑談

2900,雑談する
2901,雑談する（受け用）

3007,自慰（ＮＰＣ）


